pickup_datetime,dropoff_datetime,pickup_region,dropoff_region,fare_amount,trip_distance
2024-06-28 18:33:43,2024-06-28 18:44:43,石景山区,东城区,32.9,9.6
2024-06-16 16:41:12,2024-06-16 17:10:12,朝阳区,朝阳区,40.4,14.1
2024-06-10 07:47:07,2024-06-10 07:53:07,昌平区,顺义区,18.6,3.3
2024-06-04 11:43:18,2024-06-04 11:53:18,大兴区,大兴区,24.6,6.8
2024-06-24 16:09:05,2024-06-24 16:35:05,丰台区,顺义区,46.1,16.4
2024-06-30 09:42:10,2024-06-30 10:24:10,通州区,门头沟区,42.9,14.1
2024-06-30 19:54:34,2024-06-30 20:05:34,大兴区,门头沟区,19.8,5.4
2024-06-02 18:14:46,2024-06-02 18:57:46,丰台区,房山区,27.2,7.1
2024-06-06 12:47:11,2024-06-06 12:57:11,顺义区,西城区,20.9,6.3
2024-06-06 16:46:20,2024-06-06 16:49:20,大兴区,石景山区,13.6,1.0
2024-06-05 09:31:10,2024-06-05 09:45:10,朝阳区,朝阳区,27.1,7.8
2024-07-01 17:54:29,2024-07-01 18:05:29,朝阳区,东城区,22.2,6.4
2024-06-25 19:59:27,2024-06-25 20:14:27,海淀区,石景山区,30.5,10.2
2024-06-21 14:57:45,2024-06-21 15:11:45,丰台区,门头沟区,29.6,9.0
2024-06-12 13:54:59,2024-06-12 14:07:59,通州区,大兴区,18.6,4.8
2024-06-10 18:49:24,2024-06-10 19:06:24,东城区,通州区,28.1,8.1
2024-06-28 10:36:41,2024-06-28 11:06:41,门头沟区,海淀区,48.3,16.8
2024-06-21 05:22:27,2024-06-21 05:35:27,东城区,海淀区,21.0,4.8
2024-06-20 09:16:49,2024-06-20 09:39:49,丰台区,西城区,35.3,11.1
2024-06-18 16:04:25,2024-06-18 16:11:25,海淀区,房山区,20.5,5.0
2024-06-16 17:29:13,2024-06-16 17:48:13,东城区,顺义区,22.2,6.0
2024-06-29 11:24:29,2024-06-29 11:54:29,朝阳区,门头沟区,25.4,6.4
2024-06-05 13:43:37,2024-06-05 14:03:37,海淀区,东城区,27.0,7.9
2024-06-05 08:33:42,2024-06-05 08:56:42,门头沟区,石景山区,36.9,12.3
2024-06-10 18:23:07,2024-06-10 18:46:07,通州区,通州区,31.3,9.8
2024-06-18 16:04:50,2024-06-18 16:24:50,顺义区,东城区,41.5,13.5
2024-06-14 16:09:09,2024-06-14 17:09:09,顺义区,门头沟区,49.6,17.4
2024-06-22 13:25:19,2024-06-22 13:30:19,东城区,顺义区,17.0,2.0
2024-06-11 08:14:22,2024-06-11 08:24:22,东城区,大兴区,23.4,6.3
2024-06-04 18:54:38,2024-06-04 19:08:38,大兴区,大兴区,29.4,8.9
2024-06-09 11:50:56,2024-06-09 12:00:56,丰台区,海淀区,18.3,4.4
2024-06-27 18:28:33,2024-06-27 18:41:33,海淀区,海淀区,28.9,7.8
2024-06-29 18:41:08,2024-06-29 19:08:08,朝阳区,大兴区,36.3,11.3
2024-06-24 19:57:16,2024-06-24 20:20:16,海淀区,通州区,39.2,12.9
2024-06-19 14:32:40,2024-06-19 14:42:40,丰台区,昌平区,15.2,1.7
2024-06-27 13:05:45,2024-06-27 13:33:45,海淀区,门头沟区,28.4,9.4
2024-06-06 09:37:37,2024-06-06 09:43:37,房山区,东城区,13.9,3.4
2024-06-17 22:38:31,2024-06-17 22:45:31,丰台区,丰台区,18.6,5.2
2024-06-01 16:00:13,2024-06-01 16:18:13,昌平区,门头沟区,21.7,5.2
2024-06-13 12:37:08,2024-06-13 12:43:08,朝阳区,东城区,20.0,4.0
2024-06-05 00:02:39,2024-06-05 00:18:39,海淀区,石景山区,25.0,7.3
2024-07-01 12:04:13,2024-07-01 12:07:13,海淀区,东城区,15.0,1.3
2024-06-29 09:30:03,2024-06-29 09:33:03,丰台区,门头沟区,16.3,1.0
2024-06-08 13:27:18,2024-06-08 13:49:18,海淀区,通州区,38.9,13.3
2024-06-01 12:44:30,2024-06-01 13:02:30,海淀区,丰台区,33.0,10.1
2024-06-30 18:21:24,2024-06-30 18:29:24,西城区,丰台区,18.8,4.6
2024-06-12 10:01:52,2024-06-12 10:10:52,石景山区,石景山区,27.4,8.1
2024-06-16 17:37:02,2024-06-16 17:40:02,大兴区,西城区,14.1,1.8
2024-06-22 13:21:56,2024-06-22 13:24:56,海淀区,东城区,17.0,1.0
2024-06-13 11:26:56,2024-06-13 11:37:56,顺义区,西城区,22.5,5.9
2024-06-07 12:13:59,2024-06-07 12:29:59,房山区,丰台区,26.0,8.0
2024-06-09 11:01:15,2024-06-09 11:12:15,大兴区,通州区,28.6,7.7
2024-06-20 07:01:27,2024-06-20 07:45:27,大兴区,大兴区,42.2,14.3
2024-06-08 12:31:12,2024-06-08 13:00:12,海淀区,通州区,25.5,6.4
2024-06-06 23:37:10,2024-06-06 23:40:10,大兴区,西城区,13.1,1.0
2024-06-06 09:20:37,2024-06-06 09:27:37,东城区,石景山区,14.9,3.8
2024-06-25 11:14:30,2024-06-25 11:17:30,西城区,西城区,17.7,1.0
2024-06-25 14:31:40,2024-06-25 14:37:40,门头沟区,西城区,19.8,3.8
2024-06-01 13:39:33,2024-06-01 13:42:33,房山区,西城区,14.3,1.0
2024-06-20 14:57:38,2024-06-20 15:28:38,丰台区,房山区,41.7,15.0
2024-06-30 08:08:25,2024-06-30 08:35:25,朝阳区,房山区,37.8,13.7
2024-06-06 18:17:34,2024-06-06 18:43:34,石景山区,石景山区,44.0,15.3
2024-06-11 09:55:20,2024-06-11 10:07:20,朝阳区,房山区,21.6,5.2
2024-06-16 10:07:12,2024-06-16 10:30:12,丰台区,石景山区,25.1,7.5
2024-06-26 13:28:55,2024-06-26 13:31:55,朝阳区,西城区,17.8,2.0
2024-06-23 11:15:50,2024-06-23 11:26:50,西城区,通州区,26.2,7.0
2024-06-26 08:41:35,2024-06-26 08:48:35,昌平区,昌平区,13.7,2.6
2024-06-16 17:23:33,2024-06-16 17:35:33,丰台区,西城区,25.8,6.7
2024-06-20 18:15:37,2024-06-20 18:28:37,海淀区,门头沟区,22.2,6.8
2024-06-18 13:08:29,2024-06-18 13:15:29,东城区,朝阳区,20.0,4.0
2024-06-26 23:36:22,2024-06-27 00:26:22,海淀区,房山区,39.7,14.4
2024-06-10 12:08:28,2024-06-10 13:17:28,东城区,海淀区,48.8,16.8
2024-06-12 17:31:57,2024-06-12 17:34:57,东城区,石景山区,13.1,1.0
2024-06-25 23:02:24,2024-06-25 23:32:24,通州区,石景山区,34.1,11.6
2024-06-08 09:09:38,2024-06-08 09:17:38,顺义区,丰台区,15.6,3.2
2024-06-17 23:31:19,2024-06-17 23:57:19,朝阳区,丰台区,39.7,12.9
2024-06-26 12:40:04,2024-06-26 13:22:04,大兴区,海淀区,38.9,12.8
2024-06-21 14:40:28,2024-06-21 14:53:28,东城区,东城区,26.5,8.0
2024-06-23 08:18:00,2024-06-23 08:48:00,顺义区,昌平区,38.5,12.3
2024-06-24 19:01:00,2024-06-24 19:04:00,西城区,石景山区,14.4,1.0
2024-06-18 17:29:28,2024-06-18 17:37:28,顺义区,海淀区,18.4,3.8
2024-06-24 13:51:01,2024-06-24 13:58:01,东城区,大兴区,13.2,2.3
2024-06-10 09:22:00,2024-06-10 09:44:00,东城区,朝阳区,40.3,14.6
2024-06-26 09:44:29,2024-06-26 09:50:29,西城区,东城区,16.6,3.6
2024-06-27 09:25:12,2024-06-27 09:46:12,昌平区,西城区,32.9,10.9
2024-07-01 19:43:35,2024-07-01 19:56:35,东城区,东城区,19.2,5.4
