home_team,away_team,home_goals,away_goals,home_possession,away_possession,home_shots,away_shots
Manchester City,Liverpool,3,1,62,38,18,9
Manchester City,Arsenal,2,0,58,42,15,7
Manchester City,Chelsea,1,1,55,45,12,10
Manchester City,Manchester United,2,1,60,40,16,8
Manchester City,Tottenham,4,0,65,35,20,5
Manchester City,Leicester,3,0,63,37,17,6
Manchester City,Wolves,2,0,57,43,14,8
Manchester City,Aston Villa,3,1,61,39,16,7
Liverpool,Manchester City,2,2,52,48,14,13
Liverpool,Arsenal,2,1,54,46,13,10
Liverpool,Chelsea,1,0,50,50,11,9
Liverpool,Manchester United,3,1,56,44,15,8
Liverpool,Tottenham,2,0,53,47,12,7
Liverpool,Leicester,4,1,58,42,17,8
Liverpool,Wolves,2,0,51,49,10,6
Liverpool,Aston Villa,3,0,55,45,14,5
Arsenal,Manchester City,1,2,45,55,9,14
Arsenal,Liverpool,1,3,44,56,8,16
Arsenal,Chelsea,2,1,52,48,12,10
Arsenal,Manchester United,1,1,48,52,10,11
Arsenal,Tottenham,3,2,53,47,14,12
Arsenal,Leicester,2,0,50,50,11,7
Arsenal,Wolves,1,0,46,54,8,9
Arsenal,Aston Villa,2,1,51,49,12,8
Chelsea,Manchester City,0,1,48,52,8,12
Chelsea,Liverpool,1,2,46,54,9,14
Chelsea,Arsenal,1,2,47,53,9,13
Chelsea,Manchester United,0,0,44,56,7,10
Chelsea,Tottenham,2,1,50,50,11,9
Chelsea,Leicester,1,0,49,51,10,8
Chelsea,Wolves,0,0,42,58,6,7
Chelsea,Aston Villa,2,0,52,48,12,6
Manchester United,Manchester City,1,3,38,62,7,16
Manchester United,Liverpool,0,2,40,60,6,14
Manchester United,Arsenal,1,1,42,58,8,12
Manchester United,Chelsea,1,0,44,56,9,8
Manchester United,Tottenham,2,1,46,54,10,9
Manchester United,Leicester,1,1,43,57,8,10
Manchester United,Wolves,0,1,41,59,7,9
Manchester United,Aston Villa,2,0,45,55,10,7
Tottenham,Manchester City,0,2,36,64,5,15
Tottenham,Liverpool,0,3,38,62,6,14
Tottenham,Arsenal,1,2,40,60,8,13
Tottenham,Chelsea,1,1,43,57,9,10
Tottenham,Manchester United,2,2,45,55,10,10
Tottenham,Leicester,1,0,48,52,10,7
Tottenham,Wolves,0,0,44,56,8,8
Tottenham,Aston Villa,2,1,47,53,11,7
Leicester,Manchester City,0,3,35,65,5,18
Leicester,Liverpool,0,2,38,62,6,15
Leicester,Arsenal,0,1,40,60,7,11
Leicester,Chelsea,0,1,42,58,7,10
Leicester,Manchester United,1,1,45,55,8,10
Leicester,Tottenham,1,2,44,56,8,11
Leicester,Wolves,1,0,47,53,9,6
Leicester,Aston Villa,0,0,46,54,8,8
Wolves,Manchester City,0,2,40,60,6,14
Wolves,Liverpool,0,1,42,58,7,11
Wolves,Arsenal,1,1,44,56,8,10
Wolves,Chelsea,0,0,45,55,7,9
Wolves,Manchester United,1,0,48,52,9,8
Wolves,Tottenham,1,1,46,54,8,9
Wolves,Leicester,0,1,44,56,7,9
Wolves,Aston Villa,1,0,49,51,9,7
Aston Villa,Manchester City,0,3,37,63,5,16
Aston Villa,Liverpool,0,2,39,61,6,13
Aston Villa,Arsenal,0,1,41,59,7,11
Aston Villa,Chelsea,0,1,43,57,7,10
Aston Villa,Manchester United,1,1,44,56,8,10
Aston Villa,Tottenham,0,1,42,58,7,10
Aston Villa,Leicester,1,0,46,54,9,8
Aston Villa,Wolves,0,1,44,56,7,10
