product_id,product_name,category,price
P0001,服装鞋帽商品1,服装鞋帽,134.8
P0002,美妆护肤商品2,美妆护肤,1232.01
P0003,家居用品商品3,家居用品,3684.99
P0004,汽车用品商品4,汽车用品,443.82
P0005,运动户外商品5,运动户外,168.6
P0006,服装鞋帽商品6,服装鞋帽,1101.0
P0007,汽车用品商品7,汽车用品,3014.07
P0008,汽车用品商品8,汽车用品,1002.2
P0009,汽车用品商品9,汽车用品,2103.4
P0010,图书文具商品10,图书文具,2950.44
P0011,电子产品商品11,电子产品,3796.45
P0012,家居用品商品12,家居用品,3493.72
P0013,母婴用品商品13,母婴用品,1396.58
P0014,食品饮料商品14,食品饮料,4786.49
P0015,母婴用品商品15,母婴用品,520.03
P0016,运动户外商品16,运动户外,492.61
P0017,母婴用品商品17,母婴用品,3022.59
P0018,电子产品商品18,电子产品,3651.36
P0019,汽车用品商品19,汽车用品,632.88
P0020,运动户外商品20,运动户外,403.21
P0021,美妆护肤商品21,美妆护肤,4148.73
P0022,宠物用品商品22,宠物用品,4428.4
P0023,母婴用品商品23,母婴用品,2890.99
P0024,服装鞋帽商品24,服装鞋帽,238.66
P0025,食品饮料商品25,食品饮料,3867.61
P0026,服装鞋帽商品26,服装鞋帽,4278.04
P0027,服装鞋帽商品27,服装鞋帽,1906.83
P0028,图书文具商品28,图书文具,3182.07
P0029,母婴用品商品29,母婴用品,821.64
P0030,母婴用品商品30,母婴用品,1055.44
P0031,美妆护肤商品31,美妆护肤,3512.08
P0032,服装鞋帽商品32,服装鞋帽,3049.56
P0033,家居用品商品33,家居用品,2675.36
P0034,食品饮料商品34,食品饮料,825.38
P0035,运动户外商品35,运动户外,1357.04
P0036,汽车用品商品36,汽车用品,1105.88
P0037,母婴用品商品37,母婴用品,4215.83
P0038,电子产品商品38,电子产品,1152.95
P0039,电子产品商品39,电子产品,4027.18
P0040,运动户外商品40,运动户外,1346.03
P0041,食品饮料商品41,食品饮料,4566.55
P0042,宠物用品商品42,宠物用品,4383.07
P0043,母婴用品商品43,母婴用品,1071.01
P0044,图书文具商品44,图书文具,1984.2
P0045,图书文具商品45,图书文具,722.93
P0046,家居用品商品46,家居用品,1240.67
P0047,汽车用品商品47,汽车用品,2699.5
P0048,宠物用品商品48,宠物用品,2147.88
P0049,宠物用品商品49,宠物用品,2003.01
P0050,食品饮料商品50,食品饮料,4986.66
P0051,家居用品商品51,家居用品,2552.54
P0052,服装鞋帽商品52,服装鞋帽,3781.35
P0053,服装鞋帽商品53,服装鞋帽,772.68
P0054,家居用品商品54,家居用品,3962.48
P0055,运动户外商品55,运动户外,2986.08
P0056,运动户外商品56,运动户外,1914.28
P0057,图书文具商品57,图书文具,2650.28
P0058,汽车用品商品58,汽车用品,4305.29
P0059,电子产品商品59,电子产品,3404.61
P0060,服装鞋帽商品60,服装鞋帽,3411.73
P0061,汽车用品商品61,汽车用品,3756.88
P0062,母婴用品商品62,母婴用品,566.65
P0063,运动户外商品63,运动户外,799.21
P0064,电子产品商品64,电子产品,4769.54
P0065,美妆护肤商品65,美妆护肤,4859.72
P0066,家居用品商品66,家居用品,2543.33
P0067,服装鞋帽商品67,服装鞋帽,4353.89
P0068,美妆护肤商品68,美妆护肤,4209.93
P0069,汽车用品商品69,汽车用品,3048.76
P0070,家居用品商品70,家居用品,1875.83
P0071,家居用品商品71,家居用品,2701.5
P0072,汽车用品商品72,汽车用品,4593.28
P0073,宠物用品商品73,宠物用品,1627.54
P0074,电子产品商品74,电子产品,568.22
P0075,母婴用品商品75,母婴用品,4394.82
P0076,美妆护肤商品76,美妆护肤,1204.87
P0077,食品饮料商品77,食品饮料,4391.27
P0078,服装鞋帽商品78,服装鞋帽,437.41
P0079,图书文具商品79,图书文具,4081.96
P0080,汽车用品商品80,汽车用品,3831.51
P0081,家居用品商品81,家居用品,3302.16
P0082,汽车用品商品82,汽车用品,833.98
P0083,汽车用品商品83,汽车用品,4363.44
P0084,运动户外商品84,运动户外,4822.17
P0085,汽车用品商品85,汽车用品,3778.77
P0086,食品饮料商品86,食品饮料,3567.62
P0087,运动户外商品87,运动户外,4975.8
P0088,母婴用品商品88,母婴用品,2196.12
P0089,汽车用品商品89,汽车用品,2262.92
P0090,食品饮料商品90,食品饮料,1131.24
P0091,母婴用品商品91,母婴用品,114.96
P0092,汽车用品商品92,汽车用品,1158.27
P0093,食品饮料商品93,食品饮料,45.88
P0094,电子产品商品94,电子产品,1152.42
P0095,电子产品商品95,电子产品,4299.58
