satisfaction,evaluation,project_count,tenure,left
0.44,0.66,4,4,0
0.96,0.64,2,9,0
0.76,0.32,6,4,0
0.64,0.54,7,9,0
0.24,0.57,4,4,0
0.24,0.58,3,2,0
0.15,0.71,4,2,0
0.88,0.67,4,5,0
0.64,0.73,3,4,0
0.74,0.84,5,7,0
0.12,0.87,5,5,0
0.97,0.8,2,6,0
0.85,0.97,2,10,0
0.29,0.31,5,4,0
0.26,0.44,7,2,1
0.27,0.31,6,10,0
0.37,0.75,4,9,0
0.57,0.93,6,10,1
0.49,0.47,4,7,0
0.36,0.95,5,4,0
0.65,0.34,2,3,0
0.23,0.95,7,10,0
0.36,0.55,2,3,0
0.43,0.37,6,9,1
0.51,0.64,2,5,0
0.81,0.48,5,3,0
0.28,0.5,7,5,0
0.56,0.52,6,2,1
0.63,0.86,7,4,0
0.14,0.68,4,10,0
0.65,0.52,2,2,1
0.25,0.73,7,2,1
0.16,0.8,3,8,0
0.95,0.49,2,1,0
0.97,0.59,4,7,1
0.83,0.39,7,5,0
0.37,0.43,6,8,0
0.19,0.78,4,1,0
0.72,0.43,3,7,1
0.5,0.67,7,5,0
0.21,0.8,5,4,0
0.55,0.37,2,7,1
0.13,0.7,6,10,0
0.92,0.48,5,2,0
0.33,0.97,7,1,0
0.7,0.64,7,1,0
0.38,0.86,4,1,1
0.57,0.69,7,5,0
0.59,0.33,6,10,1
0.27,0.74,5,7,0
0.97,0.97,6,2,0
0.8,0.72,3,10,1
0.95,0.87,3,8,0
0.91,0.92,2,4,0
0.64,0.46,2,3,0
0.93,0.45,3,10,1
0.18,0.73,7,8,0
0.28,0.59,6,2,0
0.14,0.89,3,3,0
0.39,0.93,2,3,0
0.45,0.55,3,10,1
0.34,0.47,7,1,0
0.85,0.85,3,6,0
0.42,0.49,6,2,0
0.35,0.88,5,1,0
0.59,0.6,7,2,1
0.23,0.77,2,6,0
0.82,0.37,6,4,1
0.17,0.74,3,6,0
0.99,0.62,3,9,0
0.8,0.71,5,10,1
0.28,0.42,2,10,0
0.1,0.82,2,8,1
0.83,0.9,4,1,1
0.74,0.45,2,8,0
0.76,0.37,5,9,0
0.79,0.32,4,6,0
0.17,0.75,4,10,0
0.42,0.72,3,5,0
0.2,0.68,3,6,0
0.88,0.46,2,6,0
0.66,0.57,4,9,1
0.4,0.72,3,4,0
0.16,0.65,5,2,0
0.38,0.99,3,9,0
0.39,0.4,7,2,0
0.76,0.79,7,10,0
0.67,0.58,3,9,1
0.9,0.6,4,2,0
0.52,0.8,4,8,1
0.21,0.78,6,9,1
0.74,0.99,7,10,0
0.78,0.39,5,9,0
0.61,0.37,4,10,0
0.79,0.81,2,9,0
0.54,0.7,7,2,1
0.57,0.49,5,4,1
0.48,0.36,5,7,0
0.12,0.36,4,2,0
0.2,0.93,5,1,1
0.13,0.43,4,3,1
0.67,0.53,3,4,0
0.38,0.46,7,8,0
0.56,0.55,6,6,0
0.92,0.35,3,2,1
0.32,0.66,7,9,0
0.47,0.35,4,2,0
0.78,0.86,7,5,0
0.31,0.46,4,4,0
0.17,0.68,3,7,0
0.36,0.92,2,8,1
0.25,0.76,2,5,0
0.94,0.67,7,10,0
0.83,0.53,2,5,0
0.67,0.53,4,2,0
0.88,0.77,5,8,0
0.82,1.0,4,2,0
0.27,0.76,5,10,0
0.9,0.69,3,6,0
0.59,0.81,6,8,0
0.83,0.63,5,6,0
0.91,0.34,2,4,1
0.39,0.69,4,4,1
0.2,0.97,3,6,0
0.31,0.42,2,4,0
0.48,0.78,3,8,1
0.84,0.44,6,9,0
0.87,0.68,4,1,0
0.11,0.37,7,4,1
0.56,0.62,4,4,0
0.48,0.83,6,2,0
0.3,0.54,4,6,1
0.21,0.77,7,3,0
0.4,0.86,5,7,0
0.95,0.95,3,5,0
0.39,0.46,7,4,0
0.57,0.58,2,5,0
0.73,0.41,6,8,1
0.43,0.99,5,3,1
0.97,0.95,2,7,0
0.97,0.68,2,6,0
0.33,0.89,6,1,0
0.55,0.66,5,7,0
0.37,0.74,2,7,0
0.36,0.36,2,1,1
0.13,0.83,5,9,1
0.65,0.39,4,6,0
0.55,0.88,2,2,0
0.15,0.85,3,5,0
0.35,0.8,5,4,0
0.92,0.33,2,7,0
0.32,0.51,6,8,0
0.23,0.48,7,1,1
0.54,0.55,3,5,0
0.99,0.36,7,3,0
0.32,0.96,7,1,1
0.7,0.69,2,3,0
0.79,0.51,3,6,0
0.31,0.58,3,7,0
0.76,0.61,4,8,0
0.43,0.72,7,4,1
0.67,0.66,3,3,0
0.67,0.94,4,5,0
0.58,0.65,5,9,0
0.18,0.99,4,6,0
0.85,0.9,6,9,1
0.39,0.45,2,6,0
0.27,0.95,5,2,0
0.14,0.38,5,5,0
0.63,0.87,6,9,0
0.71,0.57,4,8,0
0.11,0.91,2,7,1
0.56,0.91,4,1,0
0.3,0.86,3,4,0
0.68,0.85,4,7,1
0.26,0.51,5,7,0
0.72,0.36,2,6,1
0.45,0.58,4,8,0
0.94,0.42,2,6,0
0.22,0.79,2,10,1
0.41,0.54,3,3,0
